Record_ID,Date,Day,Day_Name,Week_Number,Month,Month_Number,Analysis_Period,State,Platform,Official_Handle_Model,Conversation_Count,Official_Post_Count,Likes_Modelled,Comments_Modelled,Shares_Modelled,Views_Modelled,Topic,News_or_Content_Driver,Positive_Percent,Neutral_Percent,Negative_Percent,Dominant_Sentiment,Geographic_Attribution_Method,Geo_Confidence_Level,Data_Type
DC2026-01142,2026-07-11,11,Saturday,28,July,7,July 2026,Rajasthan,Instagram,@indianarmy.adgpi,232,3,2660,110,25,12758,Training and Military Readiness,Routine modelled public conversation around Indian Army content,77.3,16.9,5.8,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01143,2026-07-11,11,Saturday,28,July,7,July 2026,Rajasthan,Facebook,Indian Army,164,2,972,94,48,5060,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,78.5,9.4,12.1,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01144,2026-07-11,11,Saturday,28,July,7,July 2026,Sikkim,X (Twitter),@adgpi,129,2,633,59,87,2630,Training and Military Readiness,Routine modelled public conversation around Indian Army content,65.1,28.5,6.4,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01145,2026-07-11,11,Saturday,28,July,7,July 2026,Sikkim,Instagram,@indianarmy.adgpi,178,4,2281,102,30,8440,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,62.7,23.7,13.6,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01146,2026-07-11,11,Saturday,28,July,7,July 2026,Sikkim,Facebook,Indian Army,119,4,803,61,72,2164,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,65.2,22.5,12.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01147,2026-07-11,11,Saturday,28,July,7,July 2026,Tamil Nadu,X (Twitter),@adgpi,164,1,300,126,128,3027,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,60.2,25.0,14.8,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01148,2026-07-11,11,Saturday,28,July,7,July 2026,Tamil Nadu,Instagram,@indianarmy.adgpi,175,2,1867,135,35,8383,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,77.3,7.2,15.5,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01149,2026-07-11,11,Saturday,28,July,7,July 2026,Tamil Nadu,Facebook,Indian Army,128,3,959,64,39,4500,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,75.3,16.8,7.9,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01150,2026-07-11,11,Saturday,28,July,7,July 2026,Telangana,X (Twitter),@adgpi,93,3,501,57,54,847,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,74.3,15.5,10.2,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01151,2026-07-11,11,Saturday,28,July,7,July 2026,Telangana,Instagram,@indianarmy.adgpi,129,5,1727,54,28,4642,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,77.7,5.4,16.9,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01152,2026-07-11,11,Saturday,28,July,7,July 2026,Telangana,Facebook,Indian Army,78,3,275,39,34,1420,Technology and Modernisation,Routine modelled public conversation around Indian Army content,66.8,27.7,5.5,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01153,2026-07-11,11,Saturday,28,July,7,July 2026,Tripura,X (Twitter),@adgpi,93,2,370,69,46,2068,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,71.7,11.5,16.8,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01154,2026-07-11,11,Saturday,28,July,7,July 2026,Tripura,Instagram,@indianarmy.adgpi,116,3,1497,96,11,5668,Technology and Modernisation,Routine modelled public conversation around Indian Army content,70.8,12.4,16.8,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01155,2026-07-11,11,Saturday,28,July,7,July 2026,Tripura,Facebook,Indian Army,102,1,691,30,61,3162,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,70.3,20.3,9.4,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01156,2026-07-11,11,Saturday,28,July,7,July 2026,Uttar Pradesh,X (Twitter),@adgpi,202,4,768,69,154,4013,Technology and Modernisation,Routine modelled public conversation around Indian Army content,64.9,29.2,5.9,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01157,2026-07-11,11,Saturday,28,July,7,July 2026,Uttar Pradesh,Instagram,@indianarmy.adgpi,307,2,3097,209,37,14274,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,62.2,23.2,14.6,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01158,2026-07-11,11,Saturday,28,July,7,July 2026,Uttar Pradesh,Facebook,Indian Army,184,3,1274,88,89,4722,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,62.3,22.7,15.0,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01159,2026-07-11,11,Saturday,28,July,7,July 2026,Uttarakhand,X (Twitter),@adgpi,140,5,527,78,87,1234,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,79.5,12.8,7.7,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01160,2026-07-11,11,Saturday,28,July,7,July 2026,Uttarakhand,Instagram,@indianarmy.adgpi,169,4,1502,74,20,6118,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,62.1,30.3,7.6,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01161,2026-07-11,11,Saturday,28,July,7,July 2026,Uttarakhand,Facebook,Indian Army,146,4,542,88,48,4307,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,81.5,6.4,12.1,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01162,2026-07-11,11,Saturday,28,July,7,July 2026,West Bengal,X (Twitter),@adgpi,78,2,244,33,40,2046,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,65.7,29.4,4.9,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01163,2026-07-11,11,Saturday,28,July,7,July 2026,West Bengal,Instagram,@indianarmy.adgpi,92,3,866,47,8,4407,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,67.5,26.3,6.2,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01164,2026-07-11,11,Saturday,28,July,7,July 2026,West Bengal,Facebook,Indian Army,60,4,272,22,15,1024,Training and Military Readiness,Routine modelled public conversation around Indian Army content,77.1,6.7,16.2,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01165,2026-07-11,11,Saturday,28,July,7,July 2026,Delhi,X (Twitter),@adgpi,220,5,982,169,145,4460,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,80.4,12.6,7.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01166,2026-07-11,11,Saturday,28,July,7,July 2026,Delhi,Instagram,@indianarmy.adgpi,272,5,3526,137,32,13153,Training and Military Readiness,Routine modelled public conversation around Indian Army content,65.1,23.8,11.1,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01167,2026-07-11,11,Saturday,28,July,7,July 2026,Delhi,Facebook,Indian Army,179,4,1085,98,111,4871,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,64.4,26.6,9.0,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01168,2026-07-11,11,Saturday,28,July,7,July 2026,Jammu and Kashmir,X (Twitter),@adgpi,201,3,431,59,66,2511,Training and Military Readiness,Routine modelled public conversation around Indian Army content,63.9,29.2,6.9,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01169,2026-07-11,11,Saturday,28,July,7,July 2026,Jammu and Kashmir,Instagram,@indianarmy.adgpi,174,4,1707,76,44,6150,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,66.2,24.5,9.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01170,2026-07-11,11,Saturday,28,July,7,July 2026,Jammu and Kashmir,Facebook,Indian Army,163,2,1039,73,39,6180,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,60.1,23.3,16.6,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01171,2026-07-11,11,Saturday,28,July,7,July 2026,Ladakh,X (Twitter),@adgpi,158,2,367,106,48,3454,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,62.3,29.9,7.8,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01172,2026-07-11,11,Saturday,28,July,7,July 2026,Ladakh,Instagram,@indianarmy.adgpi,196,4,2330,152,19,8680,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,70.8,22.8,6.4,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01173,2026-07-11,11,Saturday,28,July,7,July 2026,Ladakh,Facebook,Indian Army,135,4,519,76,70,2147,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,72.2,21.5,6.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01174,2026-07-11,11,Saturday,28,July,7,July 2026,Puducherry,X (Twitter),@adgpi,113,3,551,73,97,2912,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,80.6,9.5,9.9,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01175,2026-07-11,11,Saturday,28,July,7,July 2026,Puducherry,Instagram,@indianarmy.adgpi,146,1,1444,112,11,5527,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,77.9,9.2,12.9,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01176,2026-07-11,11,Saturday,28,July,7,July 2026,Puducherry,Facebook,Indian Army,110,3,459,52,45,4021,Technology and Modernisation,Routine modelled public conversation around Indian Army content,74.2,17.0,8.8,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01177,2026-07-11,11,Saturday,28,July,7,July 2026,Andaman and Nicobar Islands,X (Twitter),@adgpi,109,2,344,29,54,2322,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,69.4,18.6,12.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01178,2026-07-11,11,Saturday,28,July,7,July 2026,Andaman and Nicobar Islands,Instagram,@indianarmy.adgpi,187,4,2238,101,17,13675,Technology and Modernisation,Routine modelled public conversation around Indian Army content,59.8,27.1,13.1,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01179,2026-07-11,11,Saturday,28,July,7,July 2026,Andaman and Nicobar Islands,Facebook,Indian Army,116,1,857,41,67,1892,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,78.4,6.8,14.8,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01180,2026-07-11,11,Saturday,28,July,7,July 2026,Chandigarh,X (Twitter),@adgpi,139,3,436,80,59,1556,Technology and Modernisation,Routine modelled public conversation around Indian Army content,72.5,20.9,6.6,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01181,2026-07-11,11,Saturday,28,July,7,July 2026,Chandigarh,Instagram,@indianarmy.adgpi,149,3,1398,60,37,7543,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,74.3,10.4,15.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01182,2026-07-11,11,Saturday,28,July,7,July 2026,Chandigarh,Facebook,Indian Army,97,3,392,51,27,3424,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,73.4,18.3,8.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01183,2026-07-11,11,Saturday,28,July,7,July 2026,Dadra and Nagar Haveli and Daman and Diu,X (Twitter),@adgpi,156,4,373,58,54,3008,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,70.8,17.3,11.9,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01184,2026-07-11,11,Saturday,28,July,7,July 2026,Dadra and Nagar Haveli and Daman and Diu,Instagram,@indianarmy.adgpi,138,3,1857,101,17,9369,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,69.3,15.3,15.4,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01185,2026-07-11,11,Saturday,28,July,7,July 2026,Dadra and Nagar Haveli and Daman and Diu,Facebook,Indian Army,119,1,765,50,26,1959,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,76.7,11.7,11.6,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01186,2026-07-11,11,Saturday,28,July,7,July 2026,Lakshadweep,X (Twitter),@adgpi,123,2,293,92,46,1592,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,75.2,11.1,13.7,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01187,2026-07-11,11,Saturday,28,July,7,July 2026,Lakshadweep,Instagram,@indianarmy.adgpi,109,4,1466,52,13,4505,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,66.5,17.9,15.6,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01188,2026-07-11,11,Saturday,28,July,7,July 2026,Lakshadweep,Facebook,Indian Army,84,3,627,40,45,2734,Training and Military Readiness,Routine modelled public conversation around Indian Army content,81.9,11.1,7.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01189,2026-07-12,12,Sunday,28,July,7,July 2026,Andhra Pradesh,X (Twitter),@adgpi,106,4,191,28,67,1658,Technology and Modernisation,Routine modelled public conversation around Indian Army content,80.7,2.7,16.6,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01190,2026-07-12,12,Sunday,28,July,7,July 2026,Andhra Pradesh,Instagram,@indianarmy.adgpi,77,1,951,64,13,5428,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,61.2,34.2,4.6,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01191,2026-07-12,12,Sunday,28,July,7,July 2026,Andhra Pradesh,Facebook,Indian Army,55,2,362,28,21,1907,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,61.6,24.5,13.9,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01192,2026-07-12,12,Sunday,28,July,7,July 2026,Arunachal Pradesh,X (Twitter),@adgpi,171,3,830,86,134,4071,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,61.9,24.3,13.8,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01193,2026-07-12,12,Sunday,28,July,7,July 2026,Arunachal Pradesh,Instagram,@indianarmy.adgpi,184,2,2465,110,27,6630,Community Outreach and Civil Support,Routine modelled public conversation around Indian Army content,58.9,24.4,16.7,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01194,2026-07-12,12,Sunday,28,July,7,July 2026,Arunachal Pradesh,Facebook,Indian Army,142,3,790,65,67,5518,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,62.3,26.6,11.1,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01195,2026-07-12,12,Sunday,28,July,7,July 2026,Assam,X (Twitter),@adgpi,452,1,2437,218,337,10758,Humanitarian Assistance and Disaster Relief,Modelled surge: flood-relief and humanitarian assistance content,70.5,15.2,14.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01196,2026-07-12,12,Sunday,28,July,7,July 2026,Assam,Instagram,@indianarmy.adgpi,474,4,4847,321,119,21858,Humanitarian Assistance and Disaster Relief,Modelled surge: flood-relief and humanitarian assistance content,64.5,31.1,4.4,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01197,2026-07-12,12,Sunday,28,July,7,July 2026,Assam,Facebook,Indian Army,357,4,2610,226,192,7657,Humanitarian Assistance and Disaster Relief,Modelled surge: flood-relief and humanitarian assistance content,76.4,11.0,12.6,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01198,2026-07-12,12,Sunday,28,July,7,July 2026,Bihar,X (Twitter),@adgpi,134,5,283,104,107,3584,"Adventure, Sports and Youth Engagement",Routine modelled public conversation around Indian Army content,65.7,26.5,7.8,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01199,2026-07-12,12,Sunday,28,July,7,July 2026,Bihar,Instagram,@indianarmy.adgpi,168,4,1433,68,22,6080,Training and Military Readiness,Routine modelled public conversation around Indian Army content,81.4,7.9,10.7,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01200,2026-07-12,12,Sunday,28,July,7,July 2026,Bihar,Facebook,Indian Army,125,5,896,69,37,4827,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,62.2,27.7,10.1,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01201,2026-07-12,12,Sunday,28,July,7,July 2026,Chhattisgarh,X (Twitter),@adgpi,114,4,554,70,42,2596,Training and Military Readiness,Routine modelled public conversation around Indian Army content,81.2,9.1,9.7,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01202,2026-07-12,12,Sunday,28,July,7,July 2026,Chhattisgarh,Instagram,@indianarmy.adgpi,120,2,1532,92,16,5017,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,76.5,9.2,14.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01203,2026-07-12,12,Sunday,28,July,7,July 2026,Chhattisgarh,Facebook,Indian Army,86,2,628,22,38,3144,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,65.3,24.5,10.2,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01204,2026-07-12,12,Sunday,28,July,7,July 2026,Goa,X (Twitter),@adgpi,71,1,255,24,29,1008,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,58.2,30.5,11.3,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01205,2026-07-12,12,Sunday,28,July,7,July 2026,Goa,Instagram,@indianarmy.adgpi,84,2,752,49,11,4982,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,76.5,15.4,8.1,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01206,2026-07-12,12,Sunday,28,July,7,July 2026,Goa,Facebook,Indian Army,69,3,487,38,33,1832,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,70.9,13.8,15.3,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01207,2026-07-12,12,Sunday,28,July,7,July 2026,Gujarat,X (Twitter),@adgpi,73,2,231,51,64,1963,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,73.0,15.5,11.5,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01208,2026-07-12,12,Sunday,28,July,7,July 2026,Gujarat,Instagram,@indianarmy.adgpi,118,3,1500,95,22,8233,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,62.7,29.7,7.6,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01209,2026-07-12,12,Sunday,28,July,7,July 2026,Gujarat,Facebook,Indian Army,57,2,415,36,35,1110,Technology and Modernisation,Routine modelled public conversation around Indian Army content,66.2,22.8,11.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01210,2026-07-12,12,Sunday,28,July,7,July 2026,Haryana,X (Twitter),@adgpi,181,3,338,117,147,4130,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,65.3,28.8,5.9,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01211,2026-07-12,12,Sunday,28,July,7,July 2026,Haryana,Instagram,@indianarmy.adgpi,185,5,1778,93,21,7006,Technology and Modernisation,Routine modelled public conversation around Indian Army content,63.0,20.5,16.5,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-01212,2026-07-12,12,Sunday,28,July,7,July 2026,Haryana,Facebook,Indian Army,143,2,566,61,67,4951,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,78.4,12.1,9.5,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
